id;name;aliases;abbreviation;company
108;FM Towns;FM Towns Marty;FMT;Fujitsu
109;NEC PC-8801;;PC88;NEC Home Electronics, Ltd.
110;BBC Micro;Beeb, BBC Microcomputer System, Acorn Electron;BBCM;Acornsoft
111;PLATO;PLTO;PLTO;
112;NEC PC-9801;PC-98, PC-9800;PC98;NEC Home Electronics, Ltd.
113;Sharp X1;Sharp X1 Turbo, Sharp X1 Twin, Sharp X1 turbo Z;X1;Sharp Corporation
114;FM-7;Fujitsu Micro 7;FM7;Fujitsu
115;NEC PC-6001;;6001;NEC Home Electronics, Ltd.
116;PlayStation Network (PSP);PSN, PSPN;PSPN;Sony Interactive Entertainment
117;Nintendo 3DS;Nintendo 3DS XL, Nintendo 3DS LL, 3DS, 3DS XL, 3DS LL, Nintendo 2DS, 2DS;3DS;Nintendo
118;Sega Pico;Kids Computer Pico, Pico;PICO;Sega
119;SuperGrafx;;SGFX;NEC Home Electronics, Ltd.
120;Bally Astrocade;Bally Professional Arcade;BAST;Bally Mfg. Corp.
121;iPad;Apple iPad;IPAD;Apple Inc.
122;Zeebo;;ZBO;Zeebo Inc.
123;Android;Google Android, Droid;ANDR;
124;Windows Phone;Windows Phone 8, WP8, WP7, Windows Phone 7;WP;Xbox Game Studios
125;Acorn Archimedes;;ACRN;Acornsoft
126;Casio Loopy;Casio "My Seal" Loopy;LOOP;Casio Co. Ltd.
127;Bandai Playdia;BA-X;PDIA;Bandai Co., Ltd.
128;Sharp MZ;MZ-800, MZ-700, SuperMZ, MZ-2500;MZ;Sharp Corporation
129;PlayStation Vita;Next Generation Portable, PSV, PS Vita, Vita, NGP;VITA;Sony Interactive Entertainment
131;RCA Studio II;RCA Studio 2;RCA2;RCA
132;XaviXPORT;XaviX Port;XAVX;SSD Company Limited
133;GamePark 32;GP32, Game Park 32;GP32;GamePark
134;Pokémon mini;Pokemon Mini;PMIN;Nintendo
135;Epoch Cassette Vision;Cassette Vision Jr.;CASV;Epoch Co., Ltd.
136;Super Cassette Vision;Epoch Super Cassette Vision, Yeno Super Cassette Vision, Lady Cassette Vision, SCV;SCV;Epoch Co., Ltd.
137;Mega Duck;Mega Duck WG-108, Cougar Boy;DUCK;
138;Nintendo 3DS eShop;Nintendo eShop, 3DS Virtual Console, 3D Classics, 3DSWare;3DSE;Nintendo
139;Wii U;Project Café, Project Cafe, WiiU, Wii-U, Nintendo Wii U;WiiU;Nintendo
140;Browser;Facebook, World Wide Web, In-Browser, Flash Games, Java Games, HTML5 Games, Chrome web store;BROW;
141;Sega SG-1000;Sega Game 1000, Mark II, Othello Multivision, SG1K, Telegames Personal Arcade, SC-3000;SG1K;Sega
142;Commodore CDTV;Commodore Dynamic Total Vision, CDTV, CD TV;CDTV;
143;PlayStation Network (Vita);PSN, PSNV, PlayStation Store;PSNV;Sony Interactive Entertainment
144;Leapfrog Didj;Didji;DIDJ;LeapFrog Enterprises
145;Xbox One;Xbox Durango, XONE, XBONE, Xbox 1, XB1, Xbox One S, Xbox One X, Project Scorpio;XONE;Xbox Game Studios
146;PlayStation 4;PS4, Orbis, PS4 Pro;PS4;Sony Interactive Entertainment
147;Watara Supervision;QuickShot Supervision;SVIS;
148;Action Max;;AMAX;Worlds of Wonder
149;Casio PV-1000;Casio PV-2000;PV1K;Casio Co. Ltd.
150;Commodore 16;Commodore Plus/4, C16, Commodore 116, C116;C16;Commodore
151;Super A'Can;Super ACan;ACAN;
152;Linux;Ubuntu, GNU/Linux;LIN;
153;Memorex MD 2500 VIS;Tandy VIS;VIS;Tandy Corporation
154;Ouya;;OUYA;
155;Amazon Fire TV;;FIRE;
156;New Nintendo 3DS;New Nintendo 3DS XL, New Nintendo 3DS LL, N3DS, New 3DS, New Nintendo 2DS XL, New Nintendo 2DS LL, N2DSLL, N2DSXL;N3DS;Nintendo
157;Nintendo Switch;Nintendo NX, Nintendo Switch Lite;NSW;Nintendo
158;Game Master;Systema 2000, Super Game;HGM;
159;Apple TV;tvOS;APTV;Apple Inc.
160;Sony SMC-777;Sony Micro Computer, SMC-777C, SMC-70, SMC-70G;SMC7;Sony Corporation
162;SAM Coupé;SAM Coupe, SAM Élite;COUP;Miles Gordon Technology
163;View-Master Interactive Vision;;VMIV;
164;Fuze Tomahawk F1;;TF1;Fuze Entertainment
165;Tomy Tutor;Tomy Pyuuta, Tomy Pyuta, Grandstand Tutor;TUT;Tomy
166;Gamate;;GMT;Bit Corporation
168;MicroBee;;MBEE;
169;VTech Socrates;Prof. Weiss-Alles;VSOC;VTech
170;Luxor ABC80;ABC800, Metric 65, BRG ABC 80;ABC;Luxor
171;Jaguar CD;Atari Jaguar CD, Jaguar II;JCD;Atari
172;Amazon Alexa;Amazon Echo;ALXA;Amazon
173;Magic Leap One;;ML1;Magic Leap
174;Advanced Pico Beena;Beena, BeenaLite;BNA;Sega
175;Google Stadia;;STAD;Google
176;PlayStation 5;PS5;PS5;Sony Corporation
177;Oculus Quest;;OQST;Oculus Studios
178;Playdate;;PLDT;Panic
179;Project Scarlett;Xbox 4;SCAR;Xbox Game Studios
180;Evercade;;EVER;
